Name,Description,IMDB_100_output
Un chien andalou,"Luis Buñuel and Salvador Dalí present 16 minutes of bizarre, surreal imagery.",[un] [chien] [andalou] [luis] [buuel] [and] [salvador] [dal] [present] [16] [minute] [of] [bizarre] [surreal] [imagery]
Animal Crackers,Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,[animal] [crackers] [mayhem] [and] [zaniness] [ensue] [when] [a] [valuable] [painting] [go] [missing] [during] [a] [party] [in] [honor] [of] [famed] [african] [explorer] [captain] [spaulding]
L'âge d'or,"A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",[lge] [dor] [a] [surrealist] [tale] [of] [a] [man] [and] [a] [woman] [who] [are] [passionately] [in] [love] [with] [each] [other] [but] [their] [attempt] [to] [consummate] [that] [passion] [are] [constantly] [thwarted] [by] [their] [family] [the] [church] [and] [bourgeois] [society]
City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",[city] [lights] [with] [the] [aid] [of] [a] [wealthy] [erratic] [tippler] [a] [dewyeyed] [tramp] [who] [ha] [fallen] [in] [love] [with] [a] [sightless] [flower] [girl] [accumulates] [money] [to] [be] [able] [to] [help] [her] [medically]
Dracula,"Transylvanian vampire Count Dracula bends a naive real estate agent to his will, then takes up residence at a London estate where he sleeps in his coffin by day and searches for potential victims by night.",[dracula] [transylvanian] [vampire] [count] [dracula] [bend] [a] [naive] [real] [estate] [agent] [to] [his] [will] [then] [take] [up] [residence] [at] [a] [london] [estate] [where] [he] [sleep] [in] [his] [coffin] [by] [day] [and] [search] [for] [potential] [victim] [by] [night]
Frankenstein,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,[frankenstein] [dr] [frankenstein] [dare] [to] [tamper] [with] [life] [and] [death] [by] [creating] [a] [human] [monster] [out] [of] [lifeless] [body] [part]
Little Caesar,A small-time criminal moves to a big city to seek bigger fortune.,[little] [caesar] [a] [smalltime] [criminal] [move] [to] [a] [big] [city] [to] [seek] [bigger] [fortune]
M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",[m] [eine] [stadt] [sucht] [einen] [mrder] [when] [the] [police] [in] [a] [german] [city] [are] [unable] [to] [catch] [a] [childmurderer] [other] [criminal] [join] [in] [the] [manhunt]
Monkey Business,"On a transatlantic crossing, The Marx Brothers get up to their usual antics and manage to annoy just about everyone on board the ship.",[monkey] [business] [on] [a] [transatlantic] [crossing] [the] [marx] [brother] [get] [up] [to] [their] [usual] [antic] [and] [manage] [to] [annoy] [just] [about] [everyone] [on] [board] [the] [ship]
The Public Enemy,An Irish-American street punk tries to make it big in the world of organized crime.,[the] [public] [enemy] [an] [irishamerican] [street] [punk] [try] [to] [make] [it] [big] [in] [the] [world] [of] [organized] [crime]
Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",[freaks] [a] [circus] [beautiful] [trapeze] [artist] [agrees] [to] [marry] [the] [leader] [of] [sideshow] [performer] [but] [his] [deformed] [friend] [discover] [she] [is] [only] [marrying] [him] [for] [his] [inheritance]
Island of Lost Souls,"A mad doctor conducts ghastly genetic experiments on a remote island in the South Seas, much to the fear and disgust of the shipwrecked sailor who finds himself trapped there.",[island] [of] [lost] [souls] [a] [mad] [doctor] [conduct] [ghastly] [genetic] [experiment] [on] [a] [remote] [island] [in] [the] [south] [sea] [much] [to] [the] [fear] [and] [disgust] [of] [the] [shipwrecked] [sailor] [who] [find] [himself] [trapped] [there]
Love Me Tonight,"A Parisian tailor finds himself posing as a baron in order to collect a sizeable bill from an aristocrat, only to fall in love with an aloof young princess.",[love] [me] [tonight] [a] [parisian] [tailor] [find] [himself] [posing] [a] [a] [baron] [in] [order] [to] [collect] [a] [sizeable] [bill] [from] [an] [aristocrat] [only] [to] [fall] [in] [love] [with] [an] [aloof] [young] [princess]
Scarface,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",[scarface] [an] [ambitious] [and] [nearly] [insane] [violent] [gangster] [climb] [the] [ladder] [of] [success] [in] [the] [mob] [but] [his] [weakness] [prove] [to] [be] [his] [downfall]
The Mummy,An Egyptian mummy searches Cairo for the girl he thinks is his long-lost princess.,[the] [mummy] [an] [egyptian] [mummy] [search] [cairo] [for] [the] [girl] [he] [think] [is] [his] [longlost] [princess]
The Old Dark House,"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate.",[the] [old] [dark] [house] [seeking] [shelter] [from] [a] [storm] [five] [traveler] [are] [in] [for] [a] [bizarre] [and] [terrifying] [night] [when] [they] [stumble] [upon] [the] [femm] [family] [estate]
42nd Street,"When the leading lady of a Broadway musical breaks her ankle, she is replaced by a young unknown actress, who becomes the star of the show.",[42nd] [street] [when] [the] [leading] [lady] [of] [a] [broadway] [musical] [break] [her] [ankle] [she] [is] [replaced] [by] [a] [young] [unknown] [actress] [who] [becomes] [the] [star] [of] [the] [show]
Duck Soup,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on.",[duck] [soup] [rufus] [t] [firefly] [is] [named] [the] [dictator] [of] [bankrupt] [freedonia] [and] [declares] [war] [on] [neighboring] [sylvania] [over] [the] [love] [of] [his] [wealthy] [backer] [mr] [teasdale] [contending] [with] [two] [inept] [spy] [who] [cant] [seem] [to] [keep] [straight] [which] [side] [theyre] [on]
Footlight Parade,"Chester Kent struggles against time, romance, and a rival's spy to produce spectacular live ""prologues"" for movie houses.",[footlight] [parade] [chester] [kent] [struggle] [against] [time] [romance] [and] [a] [rival] [spy] [to] [produce] [spectacular] [live] [prologue] [for] [movie] [house]
Gold Diggers of 1933,"A wealthy composer rescues unemployed Broadway performers with a new play, but insists on remaining anonymous.",[gold] [diggers] [of] [1933] [a] [wealthy] [composer] [rescue] [unemployed] [broadway] [performer] [with] [a] [new] [play] [but] [insists] [on] [remaining] [anonymous]
King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,[king] [kong] [a] [film] [crew] [go] [to] [a] [tropical] [island] [for] [an] [exotic] [location] [shoot] [and] [discovers] [a] [colossal] [ape] [who] [take] [a] [shine] [to] [their] [female] [blonde] [star] [he] [is] [then] [captured] [and] [brought] [back] [to] [new] [york] [city] [for] [public] [exhibition]
Sons of the Desert,"When Stan and Ollie trick their wives into thinking that they are taking a medicinal cruise while they're actually going to a convention, the wives find out the truth the hard way.",[sons] [of] [the] [desert] [when] [stan] [and] [ollie] [trick] [their] [wife] [into] [thinking] [that] [they] [are] [taking] [a] [medicinal] [cruise] [while] [theyre] [actually] [going] [to] [a] [convention] [the] [wife] [find] [out] [the] [truth] [the] [hard] [way]
The Invisible Man,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",[the] [invisible] [man] [a] [scientist] [find] [a] [way] [of] [becoming] [invisible] [but] [in] [doing] [so] [he] [becomes] [murderously] [insane]
Dames,"A multimillionaire decides to boycott ""filthy"" forms of entertainment such as Broadway shows.",[dames] [a] [multimillionaire] [decides] [to] [boycott] [filthy] [form] [of] [entertainment] [such] [a] [broadway] [show]
The Man Who Knew Too Much,An ordinary British couple vacationing in Switzerland suddenly find themselves embroiled in a case of international intrigue when their daughter is kidnapped by spies plotting a political assassination.,[the] [man] [who] [knew] [too] [much] [an] [ordinary] [british] [couple] [vacationing] [in] [switzerland] [suddenly] [find] [themselves] [embroiled] [in] [a] [case] [of] [international] [intrigue] [when] [their] [daughter] [is] [kidnapped] [by] [spy] [plotting] [a] [political] [assassination]
The Scarlet Empress,"A German noblewoman enters into a loveless marriage with the dim-witted, unstable heir to the Russian throne, then plots to oust him from power.",[the] [scarlet] [empress] [a] [german] [noblewoman] [enters] [into] [a] [loveless] [marriage] [with] [the] [dimwitted] [unstable] [heir] [to] [the] [russian] [throne] [then] [plot] [to] [oust] [him] [from] [power]
Twentieth Century,"A flamboyant Broadway impresario who has fallen on hard times tries to get his former lover, now a Hollywood diva, to return and resurrect his failing career.",[twentieth] [century] [a] [flamboyant] [broadway] [impresario] [who] [ha] [fallen] [on] [hard] [time] [try] [to] [get] [his] [former] [lover] [now] [a] [hollywood] [diva] [to] [return] [and] [resurrect] [his] [failing] [career]
A Night at the Opera,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,[a] [night] [at] [the] [opera] [a] [sly] [business] [manager] [and] [the] [wacky] [friend] [of] [two] [opera] [singer] [in] [italy] [help] [them] [achieve] [success] [in] [america] [while] [humiliating] [their] [stuffy] [and] [snobbish] [enemy]
Bride of Frankenstein,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",[bride] [of] [frankenstein] [mary] [shelley] [reveals] [the] [main] [character] [of] [her] [novel] [survived] [dr] [frankenstein] [goaded] [by] [an] [even] [madder] [scientist] [build] [his] [monster] [a] [mate]
Top Hat,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",[top] [hat] [an] [american] [dancer] [come] [to] [britain] [and] [fall] [for] [a] [model] [whom] [he] [initially] [annoyed] [but] [she] [mistake] [him] [for] [his] [goofy] [producer]
Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,[modern] [times] [the] [tramp] [struggle] [to] [live] [in] [modern] [industrial] [society] [with] [the] [help] [of] [a] [young] [homeless] [woman]
The Awful Truth,"A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought.",[the] [awful] [truth] [a] [married] [couple] [file] [an] [amicable] [divorce] [but] [find] [it] [harder] [to] [let] [go] [of] [each] [other] [than] [they] [initially] [thought]
Angels with Dirty Faces,A priest tries to stop a gangster from corrupting a group of street kids.,[angels] [with] [dirty] [faces] [a] [priest] [try] [to] [stop] [a] [gangster] [from] [corrupting] [a] [group] [of] [street] [kid]
Bringing Up Baby,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",[bringing] [up] [baby] [while] [trying] [to] [secure] [a] [1] [million] [donation] [for] [his] [museum] [a] [befuddled] [paleontologist] [is] [pursued] [by] [a] [flighty] [and] [often] [irritating] [heiress] [and] [her] [pet] [leopard] [baby]
The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",[the] [adventures] [of] [robin] [hood] [when] [prince] [john] [and] [the] [norman] [lord] [begin] [oppressing] [the] [saxon] [mass] [in] [king] [richards] [absence] [in] [1190s] [england] [a] [saxon] [lord] [fight] [back] [a] [the] [outlaw] [leader] [of] [a] [resistance] [movement]
The Lady Vanishes,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",[the] [lady] [vanishes] [while] [travelling] [in] [continental] [europe] [a] [rich] [young] [playgirl] [realizes] [that] [an] [elderly] [lady] [seems] [to] [have] [disappeared] [from] [the] [train]
The Roaring Twenties,Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.,[the] [roaring] [twenties] [three] [men] [attempt] [to] [make] [a] [living] [in] [prohibitionist] [america] [after] [returning] [home] [from] [fighting] [together] [in] [world] [war] [i]
The Wizard of Oz,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",[the] [wizard] [of] [oz] [young] [dorothy] [gale] [and] [her] [dog] [toto] [are] [swept] [away] [by] [a] [tornado] [from] [their] [kansa] [farm] [to] [the] [magical] [land] [of] [oz] [and] [embark] [on] [a] [quest] [with] [three] [new] [friend] [to] [see] [the] [wizard] [who] [can] [return] [her] [to] [her] [home] [and] [fulfill] [the] [others] [wish]
Fantasia,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",[fantasia] [a] [collection] [of] [animated] [interpretation] [of] [great] [work] [of] [western] [classical] [music] [ranging] [from] [the] [abstract] [to] [depiction] [of] [mythology] [and] [fantasy] [and] [setting] [including] [the] [prehistoric] [supernatural] [and] [sacred]
His Girl Friday,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,[his] [girl] [friday] [a] [newspaper] [editor] [us] [every] [trick] [in] [the] [book] [to] [keep] [his] [ace] [reporter] [exwife] [from] [remarrying]
Pinocchio,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",[pinocchio] [a] [living] [puppet] [with] [the] [help] [of] [a] [cricket] [a] [his] [conscience] [must] [prove] [himself] [worthy] [to] [become] [a] [real] [boy]
The Bank Dick,Henpecked Egbert Sousé has comic adventures as a substitute film director and unlikely bank guard.,[the] [bank] [dick] [henpecked] [egbert] [sou] [ha] [comic] [adventure] [a] [a] [substitute] [film] [director] [and] [unlikely] [bank] [guard]
The Grapes of Wrath,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",[the] [grapes] [of] [wrath] [an] [oklahoma] [family] [driven] [off] [their] [farm] [by] [the] [poverty] [and] [hopelessness] [of] [the] [dust] [bowl] [join] [the] [westward] [migration] [to] [california] [suffering] [the] [misfortune] [of] [the] [homeless] [in] [the] [great] [depression]
Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",[citizen] [kane] [following] [the] [death] [of] [publishing] [tycoon] [charles] [foster] [kane] [reporter] [scramble] [to] [uncover] [the] [meaning] [of] [his] [final] [utterance] [rosebud]
Dumbo,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",[dumbo] [ridiculed] [because] [of] [his] [enormous] [ear] [a] [young] [circus] [elephant] [is] [assisted] [by] [a] [mouse] [to] [achieve] [his] [full] [potential]
Sullivan's Travels,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,[sullivans] [travels] [hollywood] [director] [john] [l] [sullivan] [set] [out] [to] [experience] [life] [a] [a] [homeless] [person] [in] [order] [to] [gain] [relevant] [life] [experience] [for] [his] [next] [movie]
Suspicion,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",[suspicion] [a] [shy] [young] [heiress] [marries] [a] [charming] [gentleman] [and] [soon] [begin] [to] [suspect] [he] [is] [planning] [to] [murder] [her]
The Maltese Falcon,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",[the] [maltese] [falcon] [san] [francisco] [private] [detective] [sam] [spade] [take] [on] [a] [case] [that] [involves] [him] [with] [three] [eccentric] [criminal] [a] [gorgeous] [liar] [and] [their] [quest] [for] [a] [priceless] [statuette] [with] [the] [stake] [rising] [after] [his] [partner] [is] [murdered]
Cat People,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,[cat] [people] [an] [american] [man] [marries] [a] [serbian] [immigrant] [who] [fear] [that] [she] [will] [turn] [into] [the] [cat] [person] [of] [her] [homeland] [fable] [if] [they] [are] [intimate] [together]
Road to Morocco,"Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",[road] [to] [morocco] [two] [carefree] [castaway] [on] [a] [desert] [shore] [find] [an] [arabian] [night] [city] [where] [they] [compete] [for] [the] [luscious] [princess] [shalmar]
I Walked with a Zombie,"A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island.",[i] [walked] [with] [a] [zombie] [a] [nurse] [is] [hired] [to] [care] [for] [the] [wife] [of] [a] [sugar] [plantation] [owner] [who] [ha] [been] [acting] [strangely] [on] [a] [caribbean] [island]
Shadow of a Doubt,"A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",[shadow] [of] [a] [doubt] [a] [teenage] [girl] [overjoyed] [when] [her] [favorite] [uncle] [come] [to] [visit] [the] [family] [in] [their] [quiet] [california] [town] [slowly] [begin] [to] [suspect] [that] [he] [is] [in] [fact] [the] [merry] [widow] [killer] [sought] [by] [the] [authority]
The Life and Death of Colonel Blimp,"From the Boer War through World War II, a soldier rises through the ranks in the British military.",[the] [life] [and] [death] [of] [colonel] [blimp] [from] [the] [boer] [war] [through] [world] [war] [ii] [a] [soldier] [rise] [through] [the] [rank] [in] [the] [british] [military]
Arsenic and Old Lace,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,[arsenic] [and] [old] [lace] [a] [brooklyn] [writer] [of] [book] [on] [the] [futility] [of] [marriage] [risk] [his] [reputation] [when] [he] [decides] [to] [tie] [the] [knot] [thing] [get] [even] [more] [complicated] [when] [he] [learns] [on] [his] [wedding] [day] [that] [his] [beloved] [maiden] [aunt] [are] [habitual] [murderer]
Double Indemnity,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",[double] [indemnity] [a] [los] [angeles] [insurance] [representative] [let] [an] [alluring] [housewife] [seduce] [him] [into] [a] [scheme] [of] [insurance] [fraud] [and] [murder] [that] [arouses] [the] [suspicion] [of] [his] [colleague] [an] [insurance] [investigator]
"Murder, My Sweet","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",[murder] [my] [sweet] [after] [being] [hired] [to] [find] [an] [excons] [former] [girlfriend] [philip] [marlowe] [is] [drawn] [into] [a] [deeply] [complex] [web] [of] [mystery] [and] [deceit]
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",[brief] [encounter] [meeting] [a] [stranger] [in] [a] [railway] [station] [a] [woman] [is] [tempted] [to] [cheat] [on] [her] [husband]
Dead of Night,"The guests invited to weekend in the country share their supernatural stories, beginning with Walter Craig, who senses impending doom as his half-remembered recurring dream turns into reality.",[dead] [of] [night] [the] [guest] [invited] [to] [weekend] [in] [the] [country] [share] [their] [supernatural] [story] [beginning] [with] [walter] [craig] [who] [sens] [impending] [doom] [a] [his] [halfremembered] [recurring] [dream] [turn] [into] [reality]
Detour,"Chance events trap hitchhiking nightclub pianist Al Roberts in a tightening net of death, deception and blackmail.",[detour] [chance] [event] [trap] [hitchhiking] [nightclub] [pianist] [al] [robert] [in] [a] [tightening] [net] [of] [death] [deception] [and] [blackmail]
The Lost Weekend,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,[the] [lost] [weekend] [the] [desperate] [life] [of] [a] [chronic] [alcoholic] [is] [followed] [through] [a] [fourday] [drinking] [bout]
A Matter of Life and Death,"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.",[a] [matter] [of] [life] [and] [death] [a] [british] [wartime] [aviator] [who] [cheat] [death] [must] [argue] [for] [his] [life] [before] [a] [celestial] [court] [hoping] [to] [prolong] [his] [fledgling] [romance] [with] [an] [american] [girl]
La belle et la bête,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",[la] [belle] [et] [la] [bte] [a] [beautiful] [young] [woman] [take] [her] [father] [place] [a] [the] [prisoner] [of] [a] [mysterious] [beast] [who] [wish] [to] [marry] [her]
Notorious,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,[notorious] [the] [daughter] [of] [a] [convicted] [nazi] [spy] [is] [asked] [by] [american] [agent] [to] [gather] [information] [on] [a] [ring] [of] [nazi] [scientist] [in] [south] [america] [how] [far] [will] [she] [have] [to] [go] [to] [ingratiate] [herself] [with] [them]
The Big Sleep,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",[the] [big] [sleep] [private] [detective] [philip] [marlowe] [is] [hired] [by] [a] [wealthy] [family] [before] [the] [complex] [case] [is] [over] [he] [seen] [murder] [blackmail] [and] [what] [might] [be] [love]
The Killers,"Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",[the] [killers] [hit] [men] [kill] [an] [unresisting] [victim] [and] [investigator] [reardon] [uncovers] [his] [past] [involvement] [with] [beautiful] [deadly] [kitty] [collins]
Black Narcissus,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",[black] [narcissus] [a] [group] [of] [nun] [struggle] [to] [establish] [a] [convent] [in] [the] [himalaya] [while] [isolation] [extreme] [weather] [altitude] [and] [culture] [clash] [all] [conspire] [to] [drive] [the] [wellintentioned] [missionary] [mad]
Brighton Rock,"In Brighton in 1935, small-time gang leader Pinkie Brown murders a journalist and later desperately tries to cover his tracks but runs into trouble with the police, a few witnesses, and a rival gang.",[brighton] [rock] [in] [brighton] [in] [1935] [smalltime] [gang] [leader] [pinkie] [brown] [murder] [a] [journalist] [and] [later] [desperately] [try] [to] [cover] [his] [track] [but] [run] [into] [trouble] [with] [the] [police] [a] [few] [witness] [and] [a] [rival] [gang]
Nightmare Alley,"The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.",[nightmare] [alley] [the] [rise] [and] [fall] [of] [stanton] [carlisle] [a] [mentalist] [whose] [lie] [and] [deceit] [prove] [to] [be] [his] [downfall]
Odd Man Out,A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,[odd] [man] [out] [a] [wounded] [irish] [nationalist] [leader] [attempt] [to] [evade] [police] [following] [a] [failed] [robbery] [in] [belfast]
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",[out] [of] [the] [past] [a] [private] [eye] [escape] [his] [past] [to] [run] [a] [gas] [station] [in] [a] [small] [town] [but] [his] [past] [catch] [up] [with] [him] [now] [he] [must] [return] [to] [the] [big] [city] [world] [of] [danger] [corruption] [double] [cross] [and] [duplicitous] [dame]
Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",[ladri] [di] [biciclette] [in] [postwar] [italy] [a] [workingclass] [man] [bicycle] [is] [stolen] [endangering] [his] [effort] [to] [find] [work] [he] [and] [his] [son] [set] [out] [to] [find] [it]
Oliver Twist,"In Charles Dickens' classic tale, an orphan wends his way from cruel apprenticeship to den of thieves in search of a true home.",[oliver] [twist] [in] [charles] [dickens] [classic] [tale] [an] [orphan] [wends] [his] [way] [from] [cruel] [apprenticeship] [to] [den] [of] [thief] [in] [search] [of] [a] [true] [home]
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,[rope] [two] [men] [attempt] [to] [prove] [they] [committed] [the] [perfect] [crime] [by] [hosting] [a] [dinner] [party] [after] [strangling] [their] [former] [classmate] [to] [death]
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,[the] [red] [shoes] [a] [young] [ballet] [dancer] [is] [torn] [between] [the] [man] [she] [love] [and] [her] [pursuit] [to] [become] [a] [prima] [ballerina]
The Treasure of the Sierra Madre,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,[the] [treasure] [of] [the] [sierra] [madre] [two] [downontheirluck] [american] [searching] [for] [work] [in] [1920s] [mexico] [convince] [an] [old] [prospector] [to] [help] [them] [mine] [for] [gold] [in] [the] [sierra] [madre] [mountain]
